region,type,os,price
us-east-1,t2.nano,linux,0.0065
us-east-1,t2.micro,linux,0.013
us-east-1,t2.small,linux,0.026
us-east-1,t2.medium,linux,0.052
us-east-1,t2.large,linux,0.104
us-east-1,m4.large,linux,0.12
us-east-1,m4.xlarge,linux,0.239
us-east-1,m4.2xlarge,linux,0.479
us-east-1,m4.4xlarge,linux,0.958
us-east-1,m4.10xlarge,linux,2.394
us-east-1,m3.medium,linux,0.067
us-east-1,m3.large,linux,0.133
us-east-1,m3.xlarge,linux,0.266
us-east-1,m3.2xlarge,linux,0.532
us-east-1,c4.large,linux,0.105
us-east-1,c4.xlarge,linux,0.209
us-east-1,c4.2xlarge,linux,0.419
us-east-1,c4.4xlarge,linux,0.838
us-east-1,c4.8xlarge,linux,1.675
us-east-1,c3.large,linux,0.105
us-east-1,c3.xlarge,linux,0.21
us-east-1,c3.2xlarge,linux,0.42
us-east-1,c3.4xlarge,linux,0.84
us-east-1,c3.8xlarge,linux,1.68
us-east-1,g2.2xlarge,linux,0.65
us-east-1,g2.8xlarge,linux,2.6
us-east-1,r3.large,linux,0.166
us-east-1,r3.xlarge,linux,0.333
us-east-1,r3.2xlarge,linux,0.665
us-east-1,r3.4xlarge,linux,1.33
us-east-1,r3.8xlarge,linux,2.66
us-east-1,i2.xlarge,linux,0.853
us-east-1,i2.2xlarge,linux,1.705
us-east-1,i2.4xlarge,linux,3.41
us-east-1,i2.8xlarge,linux,6.82
us-east-1,d2.xlarge,linux,0.69
us-east-1,d2.2xlarge,linux,1.38
us-east-1,d2.4xlarge,linux,2.76
us-east-1,d2.8xlarge,linux,5.52
us-west-2,t2.nano,linux,0.0065
us-west-2,t2.micro,linux,0.013
us-west-2,t2.small,linux,0.026
us-west-2,t2.medium,linux,0.052
us-west-2,t2.large,linux,0.104
us-west-2,m4.large,linux,0.12
us-west-2,m4.xlarge,linux,0.239
us-west-2,m4.2xlarge,linux,0.479
us-west-2,m4.4xlarge,linux,0.958
us-west-2,m4.10xlarge,linux,2.394
us-west-2,m3.medium,linux,0.067
us-west-2,m3.large,linux,0.133
us-west-2,m3.xlarge,linux,0.266
us-west-2,m3.2xlarge,linux,0.532
us-west-2,c4.large,linux,0.105
us-west-2,c4.xlarge,linux,0.209
us-west-2,c4.2xlarge,linux,0.419
us-west-2,c4.4xlarge,linux,0.838
us-west-2,c4.8xlarge,linux,1.675
us-west-2,c3.large,linux,0.105
us-west-2,c3.xlarge,linux,0.21
us-west-2,c3.2xlarge,linux,0.42
us-west-2,c3.4xlarge,linux,0.84
us-west-2,c3.8xlarge,linux,1.68
us-west-2,g2.2xlarge,linux,0.65
us-west-2,g2.8xlarge,linux,2.6
us-west-2,r3.large,linux,0.166
us-west-2,r3.xlarge,linux,0.333
us-west-2,r3.2xlarge,linux,0.665
us-west-2,r3.4xlarge,linux,1.33
